BLCA,COCA,ESCA,LICA,THCA
HLA-DQB1,ZAN,SAA2,GRIP2,ZAN
LRRC56,FAM104B,,ZAN,MAP3K14
,NBPF1,,MAP3K14,GRIP2
,,,LTBP4,FAM104B
,,,RELB,LTBP4
,,,KCP,RELB
,,,ALDH3B1,NBPF1
,,,,SAA2
,,,,HLA-DQB1
,,,,KCP
,,,,LRRC56
,,,,ALDH3B1
